"coverage","country","lon","lat"
"1","AR","-57.491455078125","-35.0749643586303"
"1","PY","-56.876220703125","-25.691037608564802"
"1","AR","-58.743896484375","-34.7506393117471"
"1","BR","-55.118408203125","-29.583011238165824"
"1","BR","-52.042236328125","-29.4108899255273"
"1","BR","-52.503662109375","-27.61540558077938"
"1","BR","-49.66918945312501","-28.81579944166599"
"1","BR","-54.261474609375","-27.771050758926727"
"1","AR","-59.666748046875","-30.987027495387533"
"1","BR","-52.943115234375","-25.433353019319984"
"1","BR","-48.79028320312501","-26.89267867100161"
"1","AR","-58.743896484375","-34.29806786066278"
"1","AR","-58.721923828125","-27.576459644051187"
"1","BR","-53.47045898437501","-29.449164375979123"
"1","AR","-59.490966796875","-34.714524168633844"
"1","UY","-56.546630859375","-33.34888430850957"
"1","UY","-55.294189453125","-32.38923863341566"
"1","AR","-58.919677734375","-27.420537720719807"
"1","AR","-58.634033203125","-26.676912660554418"
"1","BR","-52.65747070312499","-26.81426577350816"
"1","BR","-49.075927734375","-28.236649004983594"
"1","BR","-50.21850585937501","-29.926373723221307"
"1","AR","-58.743896484375","-30.382352758103085"
"1","UY","-56.06323242187501","-31.75619578620289"
"1","BR","-54.72290039062499","-28.159189195803954"
"1","BR","-50.614013671875","-25.433353019319984"
"1","PY","-55.865478515625","-27.283925171113545"
"1","AR","-58.875732421875","-34.64224655516687"
"1","AR","-58.480224609375","-31.606609249091367"
"1","UY","-56.107177734375","-32.14771059142128"
"1","PY","-54.85473632812499","-26.63763846452622"
"1","BR","-50.899658203125","-30.325470800273205"
"1","BR","-51.580810546875","-29.6212206612132"
"1","BR","-48.59252929687501","-25.9481658741208"
"1","AR","-59.66674804687501","-33.67863936561744"
"1","AR","-58.59008789062501","-34.33436399645513"
"1","UY","-56.52465820312501","-32.87035974793862"
"1","AR","-54.810791015625","-26.735798597235398"
"1","BR","-51.976318359375","-28.04289433550811"
"1","BR","-52.723388671875","-26.382027556732304"
"1","AR","-59.139404296875","-34.53371192950328"
"1","UY","-57.227783203125","-34.42503563903827"
"1","UY","-55.57983398437501","-30.87393977397531"
"1","BR","-50.789794921875","-29.6212206612132"
"1","PY","-55.79956054687499","-27.205785296101503"
"1","BR","-49.427490234375","-25.869108977478785"
"1","BR","-48.966064453125","-28.178559410956822"
"1","BR","-50.94360351562501","-26.755420473948263"
"1","BR","-52.85522460937501","-26.401710109195797"
"1","UY","-55.55786132812499","-30.911650540278153"
"1","BR","-50.17456054687499","-30.059585243068803"
"1","BR","-52.96508789062499","-26.716173334952643"
"1","BR","-49.40551757812499","-26.81426577350816"
"1","UY","-57.667236328125","-32.7041106655263"
"1","UY","-56.348876953125","-34.876917951660936"
"1","BR","-50.76782226562501","-26.04691238614732"
"1","BR","-52.08618164062501","-27.362010119293444"
"1","UY","-54.964599609375","-34.33436399645513"
"1","PY","-55.82153320312501","-26.303263820974223"
"1","BR","-53.492431640625014","-26.716173334952643"
"1","AR","-59.38110351562499","-30.68516347540001"
"1","BR","-48.98803710937499","-26.61799630021307"
"1","UY","-55.97534179687501","-34.8228222334709"
"1","AR","-59.095458984375","-28.95047522870619"
"1","BR","-51.185302734375","-27.38152276155116"
"1","AR","-59.007568359375","-31.84956485618195"
"1","AR","-58.875732421875","-27.440040034323392"
"1","AR","-58.699951171875014","-34.316217890357684"
"1","BR","-52.042236328125","-29.678507637924657"
"1","BR","-50.32836914062499","-30.192617760646385"
"1","BR","-50.789794921875","-29.353451218600878"
"1","BR","-51.558837890625","-30.439201627159584"
"1","BR","-51.031494140625","-29.334297780464514"
"1","BR","-51.427001953124986","-29.83111331020471"
"1","BR","-49.251708984375","-28.58452127683979"
"1","UY","-56.48071289062499","-30.420255682938745"
"1","BR","-50.96557617187501","-27.479034321315"
"1","AR","-59.381103515625","-26.322959780290276"
"1","PY","-57.03002929687501","-26.539393907979807"
"1","BR","-49.031982421875","-28.58452127683979"
"1","BR","-52.547607421875","-28.44937341837796"
"1","BR","-54.107666015625","-27.479034321315"
"1","BR","-49.44946289062501","-28.623103111615137"
"1","PY","-55.09643554687499","-25.80978156299619"
"1","AR","-55.272216796875","-27.049341193268624"
"1","UY","-54.21752929687501","-33.67863936561744"
"1","PY","-58.28247070312499","-26.971037180499543"
"1","BR","-52.28393554687501","-31.75619578620289"
"1","BR","-54.67895507812501","-30.94934645090165"
"1","BR","-49.097900390625","-26.696544688818783"
"1","BR","-52.899169921875","-28.004101393713434"
"1","BR","-54.964599609375","-28.391399935221994"
"1","BR","-50.372314453125","-27.576459644051187"
"1","BR","-49.36157226562499","-25.611809110480735"
"1","AR","-57.62329101562501","-30.268555790506568"
"1","BR","-49.119873046875","-25.611809110480735"
